zipcode,lat,lng,population,density
94102,37.77956,-122.41931,34077,19889.9
94108,37.79189,-122.40854,12070,18064.8
94109,37.79334,-122.42138,56333,20163.9
94110,37.74975,-122.41528,69679,11257.3
94111,37.79847,-122.3998,4468,5171
94112,37.7206,-122.44311,80880,9362.6
94114,37.75814,-122.43547,33858,9441.1
94115,37.78608,-122.43742,33299,11313.9
94116,37.74457,-122.48611,43903,6710.4
94117,37.77002,-122.44425,39496,11964.6
94118,37.7801,-122.46185,40108,7722.6
94121,37.77849,-122.49548,43304,6596.7
94122,37.76113,-122.48433,59453,7047.4
94123,37.80112,-122.43645,24721,8815.7
94124,37.73204,-122.3858,37347,3021.2
94127,37.73642,-122.45961,21184,4385.7
94128,37.62197,-122.38388,0,0
94129,37.79743,-122.46662,3952,649.6
94130,37.81975,-122.36898,3136,1374.7
94131,37.74569,-122.44243,28705,5481.1
94132,37.72219,-122.48475,27641,3407.5
94133,37.80193,-122.41092,25460,14949
94134,37.71887,-122.41124,40738,6146.8
94158,37.77116,-122.39153,10205,6450
94188,37.7407,-122.38091,0,0
